week,date,awayTeam,homeTeam
1,2025-09-08,Minnesota Vikings,Chicago Bears
2,2025-09-15,Tampa Bay Buccaneers,Houston Texans
2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
3,2025-09-22,Detroit Lions,Baltimore Ravens
4,2025-09-29,New York Jets,Miami Dolphins
4,2025-09-29,Cincinnati Bengals,Denver Broncos
5,2025-10-06,Kansas City Chiefs,Jacksonville Jaguars
6,2025-10-13,Buffalo Bills,Atlanta Falcons
6,2025-10-13,Chicago Bears,Washington Commanders
7,2025-10-20,Tampa Bay Buccaneers,Detroit Lions
7,2025-10-20,Houston Texans,Seattle Seahawks
8,2025-10-27,Washington Commanders,Kansas City Chiefs
9,2025-11-03,Arizona Cardinals,Dallas Cowboys
10,2025-11-10,Philadelphia Eagles,Green Bay Packers
11,2025-11-17,Dallas Cowboys,Las Vegas Raiders
12,2025-11-24,Carolina Panthers,San Francisco 49ers
13,2025-12-01,New York Giants,New England Patriots
14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
15,2025-12-15,Miami Dolphins,Pittsburgh Steelers
16,2025-12-22,San Francisco 49ers,Indianapolis Colts
17,2025-12-29,Los Angeles Rams,Atlanta Falcons
